institution,website,address_contact,category,source_file
National Primary Health Care Development,nphcda.gov.ng,Abuja Agency (NPHCDA),"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Health Insurance Authority (NHIA),nhia.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Agency for the Control of AIDS (NACA),naca.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Institute for Pharmaceutical Research &,niprd.gov.ng,"Idu, Abuja Development (NIPRD)","Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Medical Research (NIMR),nimr.gov.ng,"Yaba, Lagos","Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Blood Service Commission (NBSC),nbsc.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Medical and Dental Council of Nigeria (MDCN),mdcn.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Nursing and Midwifery Council of Nigeria,nmcn.gov.ng,Abuja (NMCN),"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Pharmacy Council of Nigeria (PCN),pcn.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Medical Laboratory Science Council of Nigeria,mlscn.gov.ng,Abuja (MLSCN),"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Radiographers Registration Board of Nigeria,rrbn.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Optometrists and Dispensing Opticians Board,odorbn.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Dental Therapists Registration Board of Nigeria,—,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Community Health Practitioners Registration,chprbn.gov.ng,Abuja Board,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Environmental Health Officers Registration,ehorecon.gov.ng,Abuja Council (EHORECON),"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Health Records Officers Registration Board,—,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Veterinary Council of Nigeria,vcn.gov.ng,Abuja,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Institute for Medical Research,nimr.gov.ng,Lagos,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Eye Centre,—,Kaduna,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Ear Care Centre,—,Kaduna,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
"National Orthopaedic Hospitals (Igbobi, Enugu,",—,"Multiple locations Dala, Kano)","Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Federal Neuro-Psychiatric Hospitals,—,"Yaba, Enugu, Kaduna, Calabar, Benin, Sokoto, Maiduguri","Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
National Hospital Abuja,nationalhospital.gov.ng,"Central Business District, Abuja","Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
University College Hospital (UCH),uch-ibadan.org.ng,"Ibadan, Oyo State",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Lagos University Teaching Hospital (LUTH),luth.gov.ng,"Idi-Araba, Lagos",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Nigeria Teaching Hospital (UNTH),unth.edu.ng,"Ituku-Ozalla, Enugu",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Ahmadu Bello University Teaching Hospital,abuth.gov.ng,"Zaria, Kaduna State (ABUTH)",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Benin Teaching Hospital (UBTH),ubth.org,"Benin City, Edo State",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Obafemi Awolowo University Teaching Hospital,oauthc.com,"Ile-Ife, Osun State (OAUTHC)",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Port Harcourt Teaching Hospital,upth.gov.ng,"Port Harcourt, Rivers State (UPTH)",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Calabar Teaching Hospital (UCTH),ucth.gov.ng,"Calabar, Cross River State",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Maiduguri Teaching Hospital,umth.gov.ng,"Maiduguri, Borno State (UMTH)",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Jos University Teaching Hospital (JUTH),juth.gov.ng,"Jos, Plateau State",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Ilorin Teaching Hospital (UITH),uith.gov.ng,"Ilorin, Kwara State",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Aminu Kano Teaching Hospital (AKTH),akth.org.ng,Kano State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Abuja Teaching Hospital (UATH),uath.gov.ng,"Gwagwalada, FCT",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Usmanu Danfodiyo University Teaching Hospital,uduth.org.ng,Sokoto State (UDUTH),Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Nnamdi Azikiwe University Teaching Hospital,nauth.gov.ng,"Nnewi, Anambra State (NAUTH)",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
University of Uyo Teaching Hospital (UUTH),uuth.gov.ng,"Uyo, Akwa Ibom State",Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Teaching Hospital Abakaliki,—,Ebonyi State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Teaching Hospital Gombe,—,Gombe State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Teaching Hospital Ido-Ekiti,—,Ekiti State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Abubakar Tafawa Balewa University Teaching,—,Bauchi State Hospital,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Abeokuta,—,Ogun State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Owerri,—,Imo State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Umuahia,—,Abia State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Makurdi,—,Benue State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Yola,—,Adamawa State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Birnin Kudu,—,Jigawa State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Katsina,—,Katsina State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Keffi,—,Nasarawa State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Bida,—,Niger State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Lokoja,—,Kogi State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Asaba,—,Delta State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Yenagoa,—,Bayelsa State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Gusau,—,Zamfara State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Birnin Kebbi,—,Kebbi State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Nguru,—,Yobe State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Jalingo,—,Taraba State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
Federal Medical Centre Ebute Metta,—,Lagos State,Federal Teaching Hospitals & Medical Centres,laws/mda/nigeria-mda-directory.txt
National Universities Commission (NUC),nuc.edu.ng,"Aja Nwachukwu House, Maitama, Abuja","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Board for Technical Education (NBTE),nbte.gov.ng,Kaduna,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Commission for Colleges of Education,ncce.edu.ng,Abuja (NCCE),"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Joint Admissions and Matriculation Board,jamb.gov.ng,"Bwari, Abuja (JAMB)","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
West African Examinations Council (WAEC),waecnigeria.org,"Yaba, Lagos Nigeria","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Examinations Council (NECO),neco.gov.ng,"Minna, Niger State","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Business and Technical Examinations,nabteb.gov.ng,"Benin City, Edo State Board (NABTEB)","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Board for Arabic and Islamic Studies,nbais.com.ng,Kaduna (NBAIS),"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Universal Basic Education Commission (UBEC),ubec.gov.ng,Abuja,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Tertiary Education Trust Fund (TETFund),tetfund.gov.ng,Abuja,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Nigerian Education Loan Fund (NELFUND),nelf.gov.ng,Abuja,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Open University of Nigeria (NOUN),nou.edu.ng,"Jabi, Abuja","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Teachers' Institute (NTI),nti.edu.ng,Kaduna,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Teachers Registration Council of Nigeria (TRCN),trcn.gov.ng,Abuja,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Nigerian Educational Research and Development,nerdc.gov.ng,"Sheda, Abuja Council (NERDC)","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Library of Nigeria,nln.gov.ng,Abuja,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Archives of Nigeria,—,"Radio House, Area 10, Garki, Abuja","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Mathematical Centre,nmc.edu.ng,"Sheda, Abuja","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Institute for Nigerian Languages,—,"Aba, Abia State","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
"National Commission for Mass Literacy, Adult",nmec.gov.ng,Abuja and Non-Formal Education,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Social and Economic,niser.gov.ng,"Ibadan, Oyo State Research (NISER)","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
National Institute for Policy and Strategic Studies,nipsskuru.gov.ng,"Kuru, Plateau State (NIPSS)","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of International Affairs (NIIA),niianet.org,"Victoria Island, Lagos","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Administrative Staff College of Nigeria (ASCON),ascon.gov.ng,"Badagry, Lagos","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Public Service Institute of Nigeria (PSIN),psin.gov.ng,Abuja,"Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Centre for Management Development (CMD),cmd.gov.ng,"Shangisha, Lagos","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Federal Scholarship Board,—,"Federal Ministry of Education, Abuja","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Nigerian French Language Village,—,"Badagry, Lagos","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
Nigerian Arabic Language Village,—,"Ngala, Borno State","Education, Examination & Regulatory Bodies",laws/mda/nigeria-mda-directory.txt
University of Ibadan,ui.edu.ng,Oyo State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"University of Nigeria, Nsukka",unn.edu.ng,Enugu State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Obafemi Awolowo University,oauife.edu.ng,"Ile-Ife, Osun State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Ahmadu Bello University,abu.edu.ng,"Zaria, Kaduna State",Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Lagos,unilag.edu.ng,"Akoka, Lagos",Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Benin,uniben.edu,"Benin City, Edo State",Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Calabar,unical.edu.ng,Cross River State,Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Jos,unijos.edu.ng,Plateau State,Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Maiduguri,unimaid.edu.ng,Borno State,Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Port Harcourt,uniport.edu.ng,Rivers State,Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Ilorin,unilorin.edu.ng,Kwara State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Bayero University Kano,buk.edu.ng,Kano State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Usmanu Danfodiyo University,udusok.edu.ng,Sokoto State,Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Uyo,uniuyo.edu.ng,Akwa Ibom State,Federal Universities,laws/mda/nigeria-mda-directory.txt
University of Abuja,uniabuja.edu.ng,FCT,Federal Universities,laws/mda/nigeria-mda-directory.txt
Nnamdi Azikiwe University,unizik.edu.ng,"Awka, Anambra State",Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Technology, Akure",futa.edu.ng,Ondo State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Technology, Minna",futminna.edu.ng,Niger State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Technology, Owerri",futo.edu.ng,Imo State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Abubakar Tafawa Balewa University,atbu.edu.ng,Bauchi State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Modibbo Adama University,mau.edu.ng,"Yola, Adamawa State",Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Agriculture, Abeokuta",funaab.edu.ng,Ogun State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Michael Okpara University of Agriculture,mouau.edu.ng,"Umudike, Abia State",Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Agriculture, Makurdi",uam.edu.ng,Benue State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Nigerian Defence Academy,nda.edu.ng,Kaduna State,Federal Universities,laws/mda/nigeria-mda-directory.txt
National Open University of Nigeria,nou.edu.ng,Abuja,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Lafia",fulafia.edu.ng,Nasarawa State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Lokoja",fulokoja.edu.ng,Kogi State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Dutse",fud.edu.ng,Jigawa State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Dutsin-Ma",fudutsinma.edu.ng,Katsina State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Kashere",fukashere.edu.ng,Gombe State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Wukari",fuwukari.edu.ng,Taraba State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Gashua",fugashua.edu.ng,Yobe State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Birnin Kebbi",fubk.edu.ng,Kebbi State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Gusau",fugusau.edu.ng,Zamfara State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Otuoke",fuotuoke.edu.ng,Bayelsa State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Oye-Ekiti",fuoye.edu.ng,Ekiti State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Ndufu-Alike",funai.edu.ng,Ebonyi State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University, Petroleum Resources",fupre.edu.ng,"Effurun, Delta State",Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Health Sciences, Otukpo",—,Benue State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Health Sciences, Azare",—,Bauchi State,Federal Universities,laws/mda/nigeria-mda-directory.txt
"Federal University of Health Sciences,",—,Osun State Ila-Orangun,Federal Universities,laws/mda/nigeria-mda-directory.txt
Nigerian Maritime University,nmu.edu.ng,"Okerenkoko, Delta State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Nigerian Army University,naub.edu.ng,"Biu, Borno State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Air Force Institute of Technology,afit.edu.ng,Kaduna State,Federal Universities,laws/mda/nigeria-mda-directory.txt
Nigeria Police Academy,polac.edu.ng,"Wudil, Kano State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Alex Ekwueme Federal University,funai.edu.ng,"Ndufu-Alike, Ebonyi State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Federal University of Transportation,—,"Daura, Katsina State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Admiralty University of Nigeria,adun.edu.ng,"Ibusa, Delta State",Federal Universities,laws/mda/nigeria-mda-directory.txt
Yaba College of Technology,yabatech.edu.ng,Lagos State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Ilaro",federalpolyilaro.edu.ng,Ogun State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Ede",federalpolyede.edu.ng,Osun State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Offa",fpo.edu.ng,Kwara State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Nekede",fpno.edu.ng,Imo State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Oko",federalpolyoko.edu.ng,Anambra State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Bida",fedpolybida.edu.ng,Niger State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Bauchi",fptb.edu.ng,Bauchi State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Kaura Namoda",fedpolyknm.edu.ng,Zamfara State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Mubi",fpm.edu.ng,Adamawa State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Idah",fepoda.edu.ng,Kogi State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Ado-Ekiti",fedpolyado.edu.ng,Ekiti State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Damaturu",fedpolydam.edu.ng,Yobe State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal Polytechnic, Nasarawa",fedpolynas.edu.ng,Nasarawa State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
Auchi Polytechnic,auchipoly.edu.ng,Edo State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
Kaduna Polytechnic,kadunapolytechnic.edu.ng,Kaduna State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Zaria",fcezaria.edu.ng,Kaduna State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education (Technical), Akoka",fcetakoka.edu.ng,Lagos State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Kano",fcekano.edu.ng,Kano State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Abeokuta",fceabeokuta.edu.ng,Ogun State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Okene",fceokene.edu.ng,Kogi State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Pankshin",fcepankshin.edu.ng,Plateau State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Obudu",—,Cross River State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
"Federal College of Education, Katsina",fcekatsina.edu.ng,Katsina State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
Adeyemi Federal University of Education,aceondo.edu.ng,Ondo State,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
Alvan Ikoku Federal University of Education,alvanikoku.edu.ng,"Owerri, Imo State",Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
Federal Unity Colleges (104 nationwide),education.gov.ng,Contact via Federal Ministry of Education,Federal Polytechnics & Colleges of Education,laws/mda/nigeria-mda-directory.txt
Agricultural Research Council of Nigeria (ARCN),arcn.gov.ng,Abuja,"Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Agricultural Land Development,nalda.gov.ng,"Area 11, Garki, Abuja Authority (NALDA)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Agricultural Seeds Council (NASC),seedcouncil.gov.ng,Abuja,"Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigeria Agricultural Quarantine Service (NAQS),naqs.gov.ng,Abuja,"Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigerian Agricultural Insurance Corporation,naic.gov.ng,Abuja (NAIC),"Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Agency for Food Reserve / Strategic,—,Abuja Grain Reserve,"Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Institute for Agricultural Research (IAR),iar.abu.edu.ng,"Samaru, Zaria, Kaduna State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Institute of Agricultural Research and Training,iart.gov.ng,"Ibadan, Oyo State (IAR&T;)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Cereals Research Institute (NCRI),ncribadeggi.org.ng,"Badeggi, Niger State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Root Crops Research Institute (NRCRI),nrcri.gov.ng,"Umudike, Abia State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Cocoa Research Institute of Nigeria (CRIN),crin.gov.ng,"Ibadan, Oyo State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigerian Institute for Oil Palm Research (NIFOR),nifor.gov.ng,"Benin City, Edo State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Rubber Research Institute of Nigeria (RRIN),rrin.gov.ng,"Benin City, Edo State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Lake Chad Research Institute (LCRI),lcri.gov.ng,"Maiduguri, Borno State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Horticultural Research Institute,nihort.gov.ng,"Ibadan, Oyo State (NIHORT)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigerian Stored Products Research Institute,nspri.gov.ng,"Ilorin, Kwara State (NSPRI)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Animal Production Research Institute,napri.abu.edu.ng,"Shika, Zaria (NAPRI)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Veterinary Research Institute (NVRI),nvri.gov.ng,"Vom, Plateau State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigerian Institute for Oceanography and Marine,niomr.gov.ng,"Victoria Island, Lagos Research (NIOMR)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
National Institute for Freshwater Fisheries,niffr.gov.ng,"New Bussa, Niger State Research (NIFFR)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
"National Agricultural Extension, Research and",naerls.gov.ng,"Zaria, Kaduna State Liaison Services (NAERLS)","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Forestry Research Institute of Nigeria (FRIN),frin.gov.ng,"Ibadan, Oyo State","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigerian Natural Medicine Development Agency,nnmda.gov.ng,Lagos (NNMDA),"Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Federal Colleges of Agriculture (multiple),arcn.gov.ng,"Ibadan, Akure, Ishiagu, Moor Plantation etc.","Agriculture, Livestock & Agricultural Research Institutes",laws/mda/nigeria-mda-directory.txt
Nigerian National Petroleum Company Ltd,nnpcgroup.com,"NNPC Towers, Herbert Macaulay Way, Abuja (NNPC Ltd)","Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Upstream Petroleum Regulatory,nuprc.gov.ng,Abuja Commission (NUPRC),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Midstream & Downstream Petroleum,nmdpra.gov.ng,Abuja Regulatory Authority (NMDPRA),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Petroleum Technology Development Fund,ptdf.gov.ng,Abuja (PTDF),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Petroleum Equalisation Fund (PEF),pef.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Content Development and Monitoring,ncdmb.gov.ng,"Yenagoa, Bayelsa State Board (NCDMB)","Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Extractive Industries Transparency,neiti.gov.ng,Abuja Initiative (NEITI),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Electricity Regulatory Commission,nerc.gov.ng,Abuja (NERC),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Transmission Company of Nigeria (TCN),tcn.org.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Independent System Operator (NISO),—,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Rural Electrification Agency (REA),rea.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
